PTC,PrintName,Category,GroupName,BrandName,lastInvoiceRate,SalesPrice2
SKU01502,Ariel Plus 195 Vegetables 2pc,Fresh Produce,Vegetables,Ariel Plus 195,296.28,353.39
SKU02587,Tata Spices 100g,Staples & Cooking,Spices,Tata,253.66,309.39
SKU02654,Camlin Plus 116 Edible Oil 5L,Staples & Cooking,Edible Oil,Camlin Plus 116,81.79,109.79
SKU01056,CloseUp Plus 216 Shampoo 500g,Personal Care,Shampoo,CloseUp Plus 216,429.38,589.11
SKU00706,Maggi Plus 76 Buns & Rolls 200g,Bakery,Buns & Rolls,Maggi Plus 76,185.14,226.36
SKU00107,Tide Plus 246 Air Freshener 500g,Home Care,Air Freshener,Tide Plus 246,582.03,688.1
SKU00590,Rin Plus 362 Toothpaste Masala 2pc,Personal Care,Toothpaste,Rin Plus 362,259.97,302.68
SKU02469,Camlin Plus 266 Toothpaste 200g,Personal Care,Toothpaste,Camlin Plus 266,580.15,813.59
SKU02414,Maggi Plus 341 Atta & Flour Masala 2kg,Staples & Cooking,Atta & Flour,Maggi Plus 341,496.08,698.02
SKU01601,MamaEarth Plus 155 Dog Food 100g,Pet Care,Dog Food,MamaEarth Plus 155,1438.89,1801.58
SKU02465,Red Label Plus 309 Paneer 500g,Dairy & Frozen,Paneer,Red Label Plus 309,178.61,234.25
SKU00229,Clinic Plus Plus 275 Skin Care 500g,Personal Care,Skin Care,Clinic Plus Plus 275,447.6,644.74
SKU00916,Raymond Plus 70 Hair Color 200g,Beauty & Cosmetics,Hair Color,Raymond Plus 70,510.9,732.21
SKU00795,Glen Plus 308 Motor Oils (small) 2L,Automotive,Motor Oils (small),Glen Plus 308,879.18,1059.44
SKU03022,Fiama Plus 85 Supplements 100g,Health & Wellness,Supplements,Fiama Plus 85,1409.27,1830.3
SKU03544,Huggies Seeds Masala 1pc,Gardening,Seeds,Huggies,207.74,265.59
SKU01074,Colgate Plus 100 Skin Care 2pc,Personal Care,Skin Care,Colgate Plus 100,421.56,524.39
SKU03352,Red Label Bread 2pc,Bakery,Bread,Red Label,167.35,197
SKU01745,Garnier Plus 67 Instant Foods 250g,Food & Beverages,Instant Foods,Garnier Plus 67,32.24,45.13
SKU01085,Colgate Plus 90 Small Electronics (chargers) 1pc,Electronics & Batteries,Small Electronics (chargers),Colgate Plus 90,1886.44,2458.38
